audio_id,bundle,source_pack,source_path,target_path,license,usage
sfx_0032,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_wood_hit_03.ogg,bevy-client/assets/audio/sfx/material/wood_hit_03.ogg,CC0,world interaction
sfx_0033,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_wood_hit_08.ogg,bevy-client/assets/audio/sfx/material/wood_hit_08.ogg,CC0,world interaction
sfx_0034,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_wood_slam_04.ogg,bevy-client/assets/audio/sfx/material/wood_slam_04.ogg,CC0,world interaction
sfx_0035,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_wood_falling_04.ogg,bevy-client/assets/audio/sfx/material/wood_falling_04.ogg,CC0,world interaction
sfx_0036,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_metal_hit_01.ogg,bevy-client/assets/audio/sfx/material/metal_hit_01.ogg,CC0,world interaction
sfx_0037,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_metal_hit_02.ogg,bevy-client/assets/audio/sfx/material/metal_hit_02.ogg,CC0,world interaction
sfx_0038,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_metal_slam_01.ogg,bevy-client/assets/audio/sfx/material/metal_slam_01.ogg,CC0,world interaction
sfx_0039,core,100_cc0_wood_metal_sfx,assetdirectory/audio/normalized/sfx/100_cc0_wood_metal_sfx/sfx_100_cc0_wood_metal_sfx_keys_01.ogg,bevy-client/assets/audio/sfx/material/keys_01.ogg,CC0,world interaction
sfx_0040,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_01.ogg,bevy-client/assets/audio/sfx/mud/mud_01.ogg,CC0,terrain step
sfx_0041,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_02.ogg,bevy-client/assets/audio/sfx/mud/mud_02.ogg,CC0,terrain step
sfx_0042,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_03.ogg,bevy-client/assets/audio/sfx/mud/mud_03.ogg,CC0,terrain step
sfx_0043,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_04.ogg,bevy-client/assets/audio/sfx/mud/mud_04.ogg,CC0,terrain step
sfx_0044,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_05.ogg,bevy-client/assets/audio/sfx/mud/mud_05.ogg,CC0,terrain step
sfx_0045,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_06.ogg,bevy-client/assets/audio/sfx/mud/mud_06.ogg,CC0,terrain step
sfx_0046,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_07.ogg,bevy-client/assets/audio/sfx/mud/mud_07.ogg,CC0,terrain step
sfx_0047,core,25_cc0_mud_sfx,assetdirectory/audio/normalized/sfx/25_cc0_mud_sfx/sfx_25_cc0_mud_sfx_mud_08.ogg,bevy-client/assets/audio/sfx/mud/mud_08.ogg,CC0,terrain step
sfx_0048,optional,50_cc0_retro_synth_sfx,assetdirectory/audio/normalized/sfx/50_cc0_retro_synth_sfx/sfx_50_cc0_retro_synth_sfx_retro_coin_01.ogg,bevy-client/assets/audio/sfx/optional/retro_coin_01.ogg,CC0,optional stylized
sfx_0049,optional,50_cc0_retro_synth_sfx,assetdirectory/audio/normalized/sfx/50_cc0_retro_synth_sfx/sfx_50_cc0_retro_synth_sfx_retro_coin_02.ogg,bevy-client/assets/audio/sfx/optional/retro_coin_02.ogg,CC0,optional stylized
sfx_0050,optional,50_cc0_retro_synth_sfx,assetdirectory/audio/normalized/sfx/50_cc0_retro_synth_sfx/sfx_50_cc0_retro_synth_sfx_synth_laser_01.ogg,bevy-client/assets/audio/sfx/optional/synth_laser_01.ogg,CC0,optional stylized
sfx_0051,optional,50_cc0_retro_synth_sfx,assetdirectory/audio/normalized/sfx/50_cc0_retro_synth_sfx/sfx_50_cc0_retro_synth_sfx_power_up_02.ogg,bevy-client/assets/audio/sfx/optional/power_up_02.ogg,CC0,optional stylized
